url,subject,description,owner_id,owner_name,reviewer_id,reviewer_name,answer
https://review.opendev.org/795249,puppet-oslo: update for stx 5.0,puppet-oslo: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: I42a937f479933c6db8f589b27e10d8c7c9cdd275,29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
https://review.opendev.org/795248,puppetlabs-stdlib: update for stx 5.0,puppetlabs-stdlib: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: I9de731a154eb362898f6424ac7b3fc620de87d9f,29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
https://review.opendev.org/795247,puppetlabs-rabbitmq: update for stx 5.0,puppetlabs-rabbitmq: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: I1ff4fb3c55791d804266c5068a0e6e2454e15f4e,29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
https://review.opendev.org/795246,puppetlabs-postgresql: update for stx 5.0,puppetlabs-postgresql: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: I070de81feca10956a0847677175971f8e034ac58,29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
https://review.opendev.org/795245,puppetlabs-lvm: update for stx 5.0,puppetlabs-lvm: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: I55506b94fc054170ae218d5236fdbfb28feb36d5,29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
https://review.opendev.org/795244,puppetlabs-haproxy: update for stx 5.0,puppetlabs-haproxy: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: I0a30d7da3d6c51a07e7fa83fb91446d4e1ed28d4,29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
https://review.opendev.org/795243,puppet-dnsmasq: update for stx 5.0,puppet-dnsmasq: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: I2a6480136508907d0a770ab5c854c7dc1f7d664b,29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
https://review.opendev.org/795242,puppet-ceph: update for stx 5.0,"puppet-ceph: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches except   0005-Remove-puppetlabs-apt-as-ceph-requirement.patch,   since the original patch can't be applied directly   and the local one was rebased.  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: Iddfdfe6f1f15f3be34c2bdafa461753889cd5016",29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
https://review.opendev.org/795241,puppet-network: update for stx 5.0,puppet-network: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: If37228940f1241714ec8aaa77c7c8840c1ebc3b8,29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
https://review.opendev.org/795240,puppet-keystone: update for stx 5.0,puppet-keystone: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: I0c995d5454ae29d555d059decf68f234725300fc,29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
https://review.opendev.org/795239,puppet-drbd: update for stx 5.0,puppet-drbd: update for stx 5.0  * fetch the updated stx 5.0 patches from StarlingX   git repo instead of maintaining a local copy  * inherit stx-patch to apply patches from stx repo  * remove the local copy of stx patches  Story: 2008952 Task: 42576  Signed-off-by: Jackie Huang <jackie.huang@windriver.com> Change-Id: I2e9c9a7e694c26c99f29c729bbec56b82b1e91b2,29042,Jackie_Huang,"[22348, 28607]","['Zuul', 'Saul Wold']",Dependency Updates
